CY 2023 PREA Allegation Breakdowns,detropeR stnedicnI,noitisopsiD dednuofnU,"detaitnatsbusnU
noitisopsiD","detaitnatsbuS
noitisopsiD","sesaC
nepO","no
etamnI
etamnI","etamnI
no
ffatS","yliaD
noitalupoP
egarevA","001
rep setamnI
stropeR"
Baltimore Central Booking and Intake Center,20,14,5,0,1,15,5,939,2.13
Baltimore City Correctional Center,4,1,2,0,1,4,0,465,0.86
Chesapeake Detention Facility,2,1,1,0,0,1,1,271,0.74
Central Maryland Correctional Facility,0,0,0,0,0,0,0,230,0.00
Dorsey Run Correctional Facility,5,3,1,1,0,3,2,776,0.64
Eastern Correctional Institution,25,14,7,0,4,21,4,2448,1.02
Eastern Correctional Institution Annex,0,0,0,0,0,0,0,389,0.00
Jessup Correctional Institution,22,17,5,0,0,11,11,1975,1.11
Maryland Correctional Institution - Hagerstown,7,0,4,2,1,3,4,824,0.85
Maryland Correctional Institution - Jessup,9,7,1,0,1,4,5,709,1.27
Maryland Correctional Institution for Women,14,9,4,1,0,8,6,604,2.32
Maryland Correctional Training Center,21,4,15,1,1,14,7,2127,0.99
"Maryland Reception, Diagnostic and Classification Center",2,1,1,0,0,1,1,505,0.40
Metropolitan Transition Center,2,2,0,0,0,1,1,584,0.34
North Branch Correctional Institution,12,5,6,0,1,1,11,1066,1.13
Patuxent Institution,16,11,3,0,2,9,7,593,2.70
Roxbury Correctional Institution,14,4,9,1,0,11,3,1719,0.81
Western Correctional Institution,20,6,13,0,1,12,8,1518,1.32
Youth Detention Center,0,0,0,0,0,0,0,100,0.00
TOTAL,195,99,77,7,12,119,76,17676,1.08
,,,,,,,,,
CY 2022 PREA Allegation Breakdowns,detropeR stnedicnI,noitisopsiD dednuofnU,"detaitnatsbusnU
noitisopsiD","detaitnatsbuS
noitisopsiD","sesaC
nepO","no
etamnI
etamnI","etamnI
no
ffatS","yliaD
noitalupoP
egarevA","001
rep setamnI
stropeR"
Baltimore Central Booking and Intake Center,25,12,12,1,0,21,4,980,2.55
Baltimore City Correctional Center,2,1,1,0,0,1,1,330,0.61
Chesapeake Detention Facility,7,3,4,0,0,6,1,356,1.97
Central Maryland Correctional Facility,1,1,0,0,0,0,1,249,0.40
Dorsey Run Correctional Facility,0,0,0,0,0,0,0,712,0.00
Eastern Correctional Institution,11,7,4,0,0,5,6,2254,0.49
Eastern Correctional Institution Annex,0,0,0,0,0,0,0,468,0.00
Jessup Correctional Institution,4,2,2,0,0,3,1,1679,0.24
Maryland Correctional Institution - Hagerstown,4,0,4,0,0,3,1,923,0.43
Maryland Correctional Institution - Jessup,6,4,2,0,0,2,4,669,0.90
Maryland Correctional Institution for Women,6,2,2,2,0,4,2,480,1.25
Maryland Correctional Training Center,17,4,11,2,0,12,5,1981,0.86
"Maryland Reception, Diagnostic and Classification Center",2,1,1,0,0,0,2,544,0.37
Metropolitan Transition Center,4,3,1,0,0,3,1,604,0.66
North Branch Correctional Institution,9,4,5,0,0,3,6,1061,0.85
Patuxent Institution,8,6,1,1,0,3,5,621,1.29
Roxbury Correctional Institution,12,8,4,0,0,8,4,1470,0.82
Western Correctional Institution,22,10,10,2,0,15,7,1555,1.41
Youth Detention Center,1,1,0,0,0,0,1,58,1.72
TOTAL,141,69,64,8,0,89,52,16994,0.83
